Date,Open,High,Low,Close,Volume
2024-10-04,1.10348,1.104,1.095,1.0975,161601
2024-10-06,1.09606,1.0972,1.09599,1.0971,3117
2024-10-07,1.09703,1.0988,1.09534,1.0972,156163
2024-10-08,1.09742,1.0997,1.09609,1.09752,162888
2024-10-09,1.09753,1.0979,1.0934,1.09416,154409
2024-10-10,1.0942,1.0955,1.0899,1.09334,167603
2024-10-11,1.09335,1.0954,1.0925,1.0937,127776
2024-10-13,1.0943,1.0943,1.0943,1.0943,1
2024-10-14,1.09163,1.0938,1.08879,1.0908,126806
2024-10-15,1.09085,1.0917,1.0881,1.0883,151641
2024-10-16,1.08827,1.09014,1.0852,1.08586,148056
2024-10-17,1.08585,1.0874,1.0811,1.08286,157719
2024-10-18,1.08289,1.087,1.0826,1.0867,142963
2024-10-20,1.087,1.087,1.0864,1.08679,2071
2024-10-21,1.08681,1.0869,1.08099,1.08149,154449
2024-10-22,1.0815,1.0839,1.0791,1.07962,152896
2024-10-23,1.07961,1.0807,1.076,1.07804,168780
2024-10-24,1.07804,1.0831,1.077,1.08235,152416
2024-10-25,1.08239,1.084,1.079,1.0795,153720
2024-10-27,1.07929,1.07999,1.0785,1.07959,2961
2024-10-28,1.07957,1.08276,1.078,1.08176,138370
2024-10-29,1.08177,1.08263,1.07586,1.08198,177682
2024-10-30,1.08197,1.0872,1.08065,1.08582,174129
2024-10-31,1.08581,1.0889,1.0842,1.0882,187084
2024-11-01,1.0884,1.09056,1.08262,1.08327,170533
2024-11-03,1.08769,1.08807,1.08708,1.08726,2665
2024-11-04,1.08727,1.0915,1.0868,1.08736,162530
2024-11-05,1.08735,1.0939,1.0871,1.09332,150235
2024-11-06,1.09331,1.0934,1.0682,1.07314,287325
2024-11-07,1.07312,1.0825,1.0711,1.07953,201771
2024-11-08,1.07952,1.07973,1.0686,1.07182,188220
2024-11-10,1.0704,1.07168,1.0704,1.0713,2518
2024-11-11,1.07129,1.0728,1.06278,1.06629,164290
2024-11-12,1.06628,1.0664,1.0593,1.06166,180091
2024-11-13,1.06163,1.0654,1.05536,1.05656,186773
2024-11-14,1.05658,1.05824,1.04964,1.05295,190722
2024-11-15,1.05292,1.0593,1.0515,1.0539,182683
2024-11-17,1.05288,1.05381,1.05276,1.05362,1984
2024-11-18,1.05356,1.0608,1.0529,1.05944,158167
2024-11-19,1.05943,1.0609,1.05231,1.06068,191418
2024-11-20,1.06069,1.061,1.05065,1.0546,167906
2024-11-21,1.05457,1.0555,1.0461,1.04687,181346
2024-11-22,1.04686,1.04981,1.03315,1.0425,196643
2024-11-25,1.0522,1.05285,1.04424,1.04436,79670
2024-11-26,1.04437,1.05448,1.0424,1.04915,213756
2024-11-27,1.04917,1.0588,1.0473,1.0562,195648
2024-11-28,1.05621,1.0563,1.0451,1.056,134384
2024-11-29,1.056,1.05972,1.0539,1.0576,191191
2024-12-01,1.05584,1.05686,1.05331,1.05432,3004
2024-12-02,1.05433,1.0546,1.04597,1.05008,197561
2024-12-03,1.05005,1.05351,1.0479,1.0508,187362
2024-12-04,1.051,1.0544,1.0471,1.05125,192994
2024-12-05,1.05124,1.0592,1.0507,1.05861,169683
2024-12-06,1.05865,1.06298,1.0541,1.0566,171226
2024-12-08,1.05579,1.05689,1.05535,1.05654,2019
2024-12-09,1.05656,1.05943,1.0531,1.05539,161705
2024-12-10,1.05549,1.05681,1.0497,1.0531,144245
2024-12-11,1.05295,1.054,1.04792,1.05055,183277
2024-12-12,1.05077,1.0531,1.04585,1.04731,188141
2024-12-13,1.04735,1.0524,1.0452,1.0501,154426
2024-12-15,1.04886,1.05106,1.04818,1.05094,1721
2024-12-16,1.05087,1.05249,1.0474,1.05169,156068
2024-12-17,1.0517,1.05342,1.0478,1.04946,169611
2024-12-18,1.04945,1.0514,1.02869,1.03506,187204
2024-12-19,1.03504,1.04225,1.035,1.03644,232910
2024-12-20,1.03645,1.0448,1.0341,1.0428,208063
2024-12-22,1.04281,1.04439,1.04272,1.04335,1859
2024-12-23,1.04331,1.0446,1.03817,1.04039,160968
2024-12-24,1.04041,1.0435,1.0382,1.0403,118621
2024-12-25,1.0401,1.0442,1.03775,1.03985,10338
2024-12-26,1.03984,1.04299,1.039,1.04213,145103
2024-12-27,1.04211,1.04441,1.0404,1.04219,147996
2024-12-29,1.04232,1.04336,1.04231,1.04291,1277
2024-12-30,1.04291,1.04585,1.03707,1.04055,159340
2024-12-31,1.04055,1.04245,1.0343,1.03496,131049
2025-01-01,1.03526,1.0365,1.03445,1.03508,5102
2025-01-02,1.0367,1.0376,1.02211,1.02678,164402
2025-01-03,1.02675,1.031,1.0263,1.0307,148831
2025-01-05,1.02983,1.03078,1.02917,1.0305,1463
2025-01-06,1.03049,1.04366,1.02952,1.03832,188407
2025-01-07,1.03828,1.0435,1.0337,1.03415,183132
2025-01-08,1.03414,1.0358,1.02728,1.03132,184975
2025-01-09,1.03135,1.03215,1.0283,1.02964,147047
2025-01-10,1.02965,1.0312,1.01159,1.01405,175743
2025-01-12,1.02359,1.02467,1.02331,1.02428,1874
2025-01-13,1.02427,1.0278,1.01763,1.0264,181759
2025-01-14,1.02463,1.031,1.0237,1.03058,176123
2025-01-15,1.03058,1.03541,1.02581,1.02947,169435
2025-01-16,1.02945,1.0316,1.02446,1.03014,174382
2025-01-17,1.03015,1.03306,1.01216,1.01216,160041
2025-01-19,1.02755,1.02804,1.02661,1.02802,1693
2025-01-20,1.02889,1.0434,1.0287,1.04208,149599
2025-01-21,1.04209,1.04353,1.0341,1.04052,207499
2025-01-22,1.04056,1.04572,1.03513,1.04076,168328
2025-01-23,1.04078,1.04377,1.03712,1.04157,172751
2025-01-24,1.04155,1.05215,1.02299,1.03305,181321
2025-01-26,1.04754,1.04834,1.04645,1.04672,2270
2025-01-27,1.04668,1.05331,1.04279,1.04367,202717
2025-01-28,1.0437,1.04565,1.04123,1.04272,173700
2025-01-29,1.04315,1.0444,1.03818,1.04241,174764
2025-01-30,1.04241,1.04678,1.03837,1.03963,159829
2025-01-31,1.03965,1.04338,1.03495,1.0356,190867
2025-02-02,1.02318,1.02693,1.02318,1.02466,5168
2025-02-03,1.0223,1.035,1.02127,1.03275,197105
2025-02-04,1.03281,1.0388,1.02715,1.0371,190196
2025-02-05,1.03716,1.04426,1.0369,1.03979,178478
2025-02-06,1.03984,1.04055,1.0352,1.03849,165027
2025-02-07,1.03846,1.04109,1.0305,1.0328,175561
2025-02-09,1.02883,1.03133,1.02839,1.03093,2604
2025-02-10,1.03094,1.03365,1.0297,1.03003,143612
2025-02-11,1.03002,1.03816,1.029,1.0363,151099
2025-02-12,1.03626,1.04298,1.03166,1.0392,178224
2025-02-13,1.03919,1.0471,1.0373,1.04613,189313
2025-02-14,1.04612,1.05142,1.0446,1.04897,168566
2025-02-16,1.04851,1.04936,1.04837,1.0488,1935
2025-02-17,1.04883,1.0506,1.0466,1.0484,111927
2025-02-18,1.04843,1.0486,1.0434,1.04477,141074
2025-02-19,1.0447,1.0462,1.04,1.04202,150144
2025-02-20,1.04203,1.0506,1.0417,1.05001,160276
2025-02-21,1.04999,1.0505,1.0448,1.04575,161029
2025-02-23,1.04717,1.04841,1.04599,1.04736,2439
2025-02-24,1.04734,1.0529,1.0452,1.04606,172905
2025-02-25,1.0461,1.0525,1.0456,1.052,168988
2025-02-26,1.05201,1.05288,1.0474,1.04874,180790
2025-02-27,1.04874,1.04893,1.03871,1.0393,176382
2025-02-28,1.03935,1.04201,1.03589,1.0374,186703
2025-03-02,1.04017,1.04207,1.03985,1.04117,3204
2025-03-03,1.04116,1.05043,1.03876,1.04851,191746
2025-03-04,1.04848,1.0637,1.047,1.0623,236851
2025-03-05,1.06232,1.0797,1.0601,1.07937,239007
2025-03-06,1.07938,1.08537,1.07648,1.07869,241588
2025-03-07,1.07868,1.08887,1.078,1.08264,205698
2025-03-09,1.08329,1.08651,1.08263,1.08596,4814
2025-03-10,1.08596,1.0876,1.0805,1.0839,201234
2025-03-11,1.08392,1.09473,1.0834,1.09138,208021
2025-03-12,1.09136,1.09312,1.0875,1.08851,195101
2025-03-13,1.08849,1.08972,1.08152,1.08545,188695
2025-03-14,1.08543,1.09126,1.083,1.0877,166211
2025-03-16,1.08771,1.08848,1.08741,1.08791,3009
2025-03-17,1.08791,1.09298,1.0868,1.09178,146437
2025-03-18,1.0918,1.0955,1.0892,1.09383,153659
2025-03-19,1.09379,1.0945,1.086,1.09114,155990
2025-03-20,1.09112,1.0918,1.0813,1.08528,152149
2025-03-21,1.0852,1.08613,1.06246,1.082,142933
2025-03-23,1.08126,1.08367,1.08104,1.08356,3055
2025-03-24,1.08357,1.08582,1.0781,1.0802,152456
2025-03-25,1.08019,1.08302,1.0776,1.07886,154054
2025-03-26,1.07882,1.08028,1.0732,1.07406,156377
2025-03-27,1.07411,1.08212,1.074,1.08005,156137
2025-03-28,1.07999,1.0845,1.07635,1.08212,151799
2025-03-30,1.0823,1.08288,1.08047,1.08231,4284
2025-03-31,1.08233,1.08495,1.0782,1.08171,175251
2025-04-01,1.08172,1.0831,1.0777,1.0795,170059
2025-04-02,1.07944,1.09242,1.0779,1.0905,172474
2025-04-03,1.09037,1.11465,1.0878,1.1045,170872
2025-04-04,1.10456,1.1109,1.0923,1.09544,149096
2025-04-06,1.0889,1.10001,1.08787,1.09827,10244
2025-04-07,1.09826,1.10503,1.08972,1.09142,328670
2025-04-08,1.09155,1.0992,1.08882,1.09768,291814
2025-04-09,1.09772,1.10954,1.09133,1.09503,346563
